state_name,month_reported,reported_cases,weather_notes,extra_column
Rivers,Sep,1101,Dry season,###
Bauchi,Apr,1260,flooded!!!,
Abuja,???,1913,,
Bayelsa,Jun,1968,Dry season,
Zamfara,Dec,1053,Dry season,
Kebbis,Oct,234,Heavy rain,
Plateau,Jan,1043,flooded!!!,###
Ondo,,1740,flooded!!!,###
Ogun,???,1072,flooded!!!,
Anambra,Sep,1313,Dry season,irrelevant
Cross River,Sep,1312,Dry season,
Ondo,Apr,1514,Dry season,###
Anambra,Jul,1539,Dry season,
Benue,Apr,155,,irrelevant
Anambra,Feb,196,,###
Adamawa,Mar,226,flooded!!!,###
S0koto,???,802,Dry season,###
Enugu,Oct,1783,123,###
benue,???,223,,
Yobe,Feb,99,Dry season,###
katsina,Jul,118,Heavy rain,###
katsina,Jan,555,123,irrelevant
Oyo,Aug,1560,Heavy rain,
Borno,Dec,1466,Heavy rain,###
Anambra,Sep,,123,irrelevant
Bayelsa,Mar,1419,Heavy rain,
Niger,Feb,519,flooded!!!,irrelevant
Adamawa,Jan,210,,###
Anambra,Jun,1840,123,irrelevant
Enugu,Oct,1902,123,###
gombe,Oct,1555,123,
crossriver,Dec,321,Dry season,irrelevant
??Rivers,Oct,511,,irrelevant
Bauchi,Apr,392,Dry season,
Kano,???,970,123,
Kano,Apr,1778,Dry season,
Abla,Dec,104,flooded!!!,
Taraba,Jun,201,123,###
Lagos,Nov,1048,123,
Jigawa,,926,Heavy rain,
Rivers,Aug,1755,Heavy rain,irrelevant
Ondo,Jan,1188,Heavy rain,
Ondo,,1485,,irrelevant
Kaduna,Sep,394,Heavy rain,
Yobe,???,83,flooded!!!,irrelevant
Bayelsa,Oct,91,Dry season,
G0mbe,Jul,1019,123,irrelevant
Abla,Aug,663,flooded!!!,irrelevant
benue,May,1140,,
Borno,Jul,1884,,
Bauchi,Dec,806,Dry season,
kogi,Jan,1906,flooded!!!,irrelevant
lagos ,???,172,,irrelevant
Kaduna,May,1592,Dry season,###
kogi,,1728,Dry season,irrelevant
Zamfara,Jul,119,123,irrelevant
katsina,Dec,1692,,###
Borno,,622,,
Kano,Jan,1678,Heavy rain,###
Niger,Sep,67,123,irrelevant
Cross River,Feb,563,123,###
Enugu,???,1550,,
Imo,Jul,955,flooded!!!,
Anambra,Feb,1300,flooded!!!,###
Benue,Sep,529,flooded!!!,###
katsina,???,7,Heavy rain,irrelevant
G0mbe,Feb,1053,123,irrelevant
Oyo,Aug,660,Dry season,###
Osun,???,1202,,###
lagos ,,1067,,
KAN0,Oct,1329,Heavy rain,
crossriver,Oct,97,Dry season,
kogi,Jun,920,123,irrelevant
Ekiti,Jun,1611,Dry season,irrelevant
Kano,Jan,1691,,
Zamfara,,1627,,irrelevant
Anambra,Jan,1791,flooded!!!,irrelevant
Niger,???,1174,123,###
Kano,May,1783,,irrelevant
Zamfara,Nov,559,Dry season,irrelevant
Enugu,Aug,665,Dry season,###
Lagos,Nov,286,Heavy rain,irrelevant
Rivers,Nov,2,Dry season,###
Yobe,Nov,25,flooded!!!,irrelevant
G0mbe,Aug,774,,irrelevant
Jigawa,May,327,Dry season,
Abla,Jul,629,Dry season,irrelevant
Ed0o,Dec,994,Dry season,###
Yobe,Feb,1796,Heavy rain,irrelevant
Imo,May,1071,123,
Niger,Aug,1072,flooded!!!,
kogi,May,663,flooded!!!,###
Plateau,Aug,1943,Heavy rain,
gombe,Feb,278,flooded!!!,
G0mbe,Dec,1341,flooded!!!,irrelevant
Rivers,Dec,922,Heavy rain,###
Anambra,,1996,,
G0mbe,Dec,1840,123,###
Abuja,Feb,1210,flooded!!!,irrelevant
Bauchi,Dec,1905,,irrelevant
Kaduna,Nov,462,123,irrelevant
Kaduba,Sep,332,Dry season,irrelevant
Kano,Oct,83,Dry season,###
Niger,Nov,498,,###
Osun,May,1292,Heavy rain,
Kaduba,Feb,1113,123,###
Kwara,Sep,1619,flooded!!!,irrelevant
Yobe,Dec,1309,Dry season,###
Adamawa,Apr,780,flooded!!!,
katsina,Dec,886,,irrelevant
Cross River,Oct,209,,
Cross River,Dec,484,Heavy rain,
??Rivers,Apr,1678,flooded!!!,
Abuja,???,1736,123,
Cross River,Aug,1812,123,###
lagos ,Oct,1642,Dry season,
Ebonyi,Jun,993,flooded!!!,###
Kano,Apr,909,Dry season,irrelevant
Anambra,Jan,1896,flooded!!!,
Oyo,Feb,1369,Dry season,
Kano,Mar,1414,Dry season,irrelevant
Ondo,Jul,390,,###
Oyo,Feb,1952,Dry season,irrelevant
Lagos,Jul,1810,123,irrelevant
Benue,Oct,725,Heavy rain,
Jigawa,Apr,504,Heavy rain,###
Kaduna,Oct,194,,
Imo,Dec,317,Heavy rain,irrelevant
Rivers,Dec,651,Heavy rain,irrelevant
Lagos,Dec,1137,Heavy rain,irrelevant
Ebonyi,Apr,1331,,###
Kano,May,780,Heavy rain,###
Lagos,Aug,880,Heavy rain,irrelevant
Anambra,Dec,1538,Heavy rain,irrelevant
Oyo,Mar,1275,Dry season,irrelevant
Adamawa,Apr,1707,Dry season,###
Osun,Jan,1151,123,
Plateau,Nov,533,123,irrelevant
Ebonyi,Jun,231,,
G0mbe,Sep,1794,123,irrelevant
Ekiti,Sep,160,flooded!!!,irrelevant
Anambra,Mar,1980,123,###
Kebbis,Jun,481,,###
Kaduna,Sep,1783,123,
Bauchi,Dec,195,Heavy rain,irrelevant
??Rivers,May,87,Dry season,irrelevant
Enugu,Aug,519,,irrelevant
Kaduna,Oct,1896,,###
Kano,,444,,
Benue,,260,Dry season,###
S0koto,Dec,24,flooded!!!,
Kebbis,Dec,431,flooded!!!,
Kebbis,Jan,1740,Heavy rain,###
Borno,Dec,1329,flooded!!!,###
Niger,Mar,801,,irrelevant
Oyo,Mar,1657,123,
Oyo,Feb,441,Heavy rain,irrelevant
Kaduna,Sep,800,flooded!!!,
katsina,Apr,401,Heavy rain,###
Jigawa,May,1612,flooded!!!,irrelevant
kogi,Apr,237,Dry season,
Osun,???,682,Heavy rain,
Delta,Oct,297,123,###
Benue,,917,flooded!!!,###
Taraba,???,1674,,irrelevant
Anambra,Nov,432,123,###
Borno,Jan,1100,Heavy rain,irrelevant
Cross River,Sep,60,Dry season,###
Enugu,Nov,1625,,###
Delta,Sep,486,,
Taraba,May,1831,,
lagos ,May,210,123,###
KAN0,Oct,1655,flooded!!!,
Ekiti,Mar,642,123,
gombe,Dec,856,flooded!!!,
Kano,???,1048,123,###
Kaduna,Nov,1295,,irrelevant
Borno,Apr,1032,123,
Enugu,Jan,675,Heavy rain,###
Oyo,Jul,527,123,
Kebbis,???,506,Heavy rain,###
benue,,534,123,###
Ogun,,864,Heavy rain,irrelevant
Kaduna,Oct,1598,flooded!!!,irrelevant
Abla,Aug,1612,,###
Yobe,Mar,1794,Dry season,irrelevant
Ed0o,Apr,1584,,irrelevant
gombe,Nov,299,Heavy rain,irrelevant
Adamawa,Jul,1047,123,
Nasarawa,Mar,1989,,###
benue,Oct,1225,,
Niger,May,1894,123,irrelevant
Abla,Jun,437,,
Zamfara,???,488,Heavy rain,irrelevant
Kano,Aug,1243,,irrelevant
Osun,Oct,1955,Heavy rain,###
katsina,Oct,492,123,###
Abuja,Apr,567,Dry season,###
Enugu,,543,Dry season,irrelevant
Kaduna,Dec,954,Dry season,irrelevant
gombe,Feb,1621,flooded!!!,###
Zamfara,May,1108,123,
Delta,Apr,338,Dry season,
Rivers,Jul,932,123,irrelevant
S0koto,Dec,1347,,irrelevant
Ed0o,Jun,222,123,
Lagos,Mar,1835,,###
Benue,???,489,,###
Delta,Jan,534,Heavy rain,
Taraba,Sep,1709,,###
Ed0o,Nov,684,Heavy rain,###
Bayelsa,Dec,611,Dry season,###
Delta,Sep,1071,flooded!!!,###
KAN0,,1019,123,irrelevant
KAN0,Aug,620,,irrelevant
Rivers,Dec,1271,123,irrelevant
Ondo,,598,Heavy rain,irrelevant
Abuja,Sep,1819,flooded!!!,
Osun,Feb,1628,123,###
Osun,Dec,1622,Dry season,###
Ed0o,,47,123,###
Enugu,Oct,501,Heavy rain,
Osun,Jan,241,Heavy rain,
Ebonyi,,1426,Dry season,irrelevant
Delta,May,734,Heavy rain,irrelevant
Ed0o,Apr,794,Heavy rain,
Osun,Nov,1767,Heavy rain,
benue,Nov,1520,flooded!!!,###
kogi,Jan,1194,123,
Zamfara,,95,Heavy rain,###
Ondo,Sep,1449,,
Osun,Jun,948,flooded!!!,irrelevant
Abla,Jan,113,flooded!!!,irrelevant
Nasarawa,Aug,1157,123,irrelevant
Jigawa,Jun,922,Heavy rain,###
G0mbe,Jul,1870,123,###
gombe,Aug,485,123,
Kano,???,1843,,
Enugu,May,1806,123,###
Taraba,Dec,104,123,irrelevant
Anambra,Sep,1580,123,irrelevant
Zamfara,Apr,1664,,###
Niger,Jul,825,Dry season,###
Osun,Jul,1414,Dry season,
Benue,Jul,1728,Dry season,
Niger,Oct,1904,Dry season,irrelevant
crossriver,Jan,1783,123,
Kano,Jun,351,flooded!!!,irrelevant
katsina,Feb,647,123,###
Kaduba,Apr,62,123,
Osun,Feb,426,123,irrelevant
Enugu,???,334,flooded!!!,irrelevant
Abuja,Sep,1207,Dry season,###
Adamawa,Jun,188,Heavy rain,irrelevant
benue,,3,,###
Anambra,Nov,471,,
Kano,Jan,1802,Dry season,###
G0mbe,Aug,1774,Dry season,###
gombe,Nov,153,Dry season,###
Benue,Sep,805,Dry season,###
S0koto,,405,Heavy rain,
Ogun,???,868,,irrelevant
Kebbis,Feb,940,Dry season,
Anambra,Oct,1730,Heavy rain,###
Kaduba,Mar,773,flooded!!!,###
Kaduna,Jul,1219,,
Plateau,May,1129,Heavy rain,###
Ed0o,Jun,971,123,###
??Rivers,Apr,1527,,###
Adamawa,,589,Heavy rain,###
Kano,Jan,403,,irrelevant
Kaduna,May,1703,,
Bauchi,???,1700,,
Kebbis,Oct,397,Dry season,
Bayelsa,Nov,926,Dry season,###
Kano,Jan,736,123,
Abuja,Oct,302,Dry season,
Adamawa,Jun,965,123,###
Jigawa,???,1234,Dry season,irrelevant
Rivers,Sep,1835,123,###
gombe,Feb,1089,,
lagos ,Jun,43,,###
Kaduba,???,764,flooded!!!,
Kaduna,,300,123,irrelevant
Kwara,,973,flooded!!!,irrelevant
Kwara,Aug,743,Dry season,###
Rivers,Jun,1873,Heavy rain,###
Ondo,Feb,1051,Heavy rain,irrelevant
lagos ,Mar,724,,irrelevant
Cross River,???,1618,123,###
Enugu,Sep,292,flooded!!!,
Borno,,139,flooded!!!,irrelevant
Cross River,Mar,343,123,irrelevant
Bayelsa,Sep,33,,###
Jigawa,Jun,724,flooded!!!,###
Ebonyi,???,455,flooded!!!,
Cross River,Sep,1449,flooded!!!,###
Enugu,Nov,122,123,###
Ogun,Nov,998,flooded!!!,
crossriver,???,296,Heavy rain,
Imo,???,540,,###
Kaduba,,1124,flooded!!!,
Bayelsa,Mar,792,123,###
Plateau,Nov,828,Heavy rain,###
Kebbis,May,1439,123,###
Delta,Jan,643,123,###
Ed0o,Jun,363,123,irrelevant
benue,Sep,622,Heavy rain,
Bauchi,Sep,583,flooded!!!,irrelevant
Abla,May,585,Heavy rain,irrelevant
Imo,Mar,1387,Heavy rain,irrelevant
Nasarawa,Jun,93,Heavy rain,
Niger,Dec,82,flooded!!!,
Rivers,???,431,flooded!!!,###
Kaduna,Apr,1052,flooded!!!,irrelevant
Osun,Jun,1203,flooded!!!,
Bauchi,Jan,1763,flooded!!!,irrelevant
Kwara,Aug,1589,Dry season,###
Taraba,Feb,580,Heavy rain,###
G0mbe,Jul,1918,Dry season,
Delta,Feb,710,,irrelevant
Kebbis,Jul,799,flooded!!!,###
Taraba,Feb,196,123,irrelevant
Ekiti,Mar,727,Dry season,
Enugu,Jun,472,Heavy rain,
Taraba,Dec,1501,Dry season,irrelevant
Abla,Nov,564,,###
crossriver,,568,123,
katsina,,1976,123,###
Bauchi,Jul,97,,irrelevant
Kaduba,,255,,irrelevant
crossriver,Dec,665,,###
Osun,Mar,1287,Dry season,###
Zamfara,Mar,1752,flooded!!!,irrelevant
Cross River,Oct,1464,,irrelevant
Enugu,Dec,1118,flooded!!!,###
Kano,Apr,853,123,###
Ebonyi,May,1259,123,
Benue,Jul,431,,
Adamawa,Apr,605,123,
Benue,Oct,695,Heavy rain,
Rivers,Sep,1341,flooded!!!,
Lagos,Oct,909,123,irrelevant
Abla,???,1991,Dry season,###
Jigawa,Aug,541,flooded!!!,
gombe,Nov,335,,
Jigawa,,1795,flooded!!!,irrelevant
Ebonyi,Mar,1349,123,irrelevant
Adamawa,Mar,571,flooded!!!,irrelevant
benue,Mar,1850,Dry season,irrelevant
Imo,Mar,1,Dry season,
Plateau,Apr,934,123,irrelevant
Kaduba,May,455,flooded!!!,###
Adamawa,May,1427,flooded!!!,irrelevant
S0koto,Feb,1649,,
Imo,Jun,1591,Heavy rain,###
??Rivers,Nov,146,flooded!!!,
Oyo,Aug,1789,Heavy rain,irrelevant
Cross River,Aug,1246,,###
Kwara,Apr,1018,,###
Bauchi,Dec,1053,Dry season,###
Ekiti,Nov,1373,,###
gombe,Nov,1061,,###
Anambra,???,1896,,
Kaduna,,1355,Dry season,irrelevant
Niger,Jul,1632,123,irrelevant
Osun,Feb,926,Heavy rain,irrelevant
Ogun,Oct,786,123,
Cross River,Jun,1894,123,
katsina,Jul,1505,Dry season,
Taraba,Oct,581,flooded!!!,
Delta,Sep,1958,,irrelevant
kogi,Dec,1040,,irrelevant
Kaduna,Oct,923,Heavy rain,###
gombe,Dec,1541,flooded!!!,
Taraba,Mar,1983,Heavy rain,
Benue,Sep,756,Dry season,
crossriver,Mar,378,Dry season,irrelevant
Ebonyi,Aug,1616,123,irrelevant
Abuja,Nov,1558,Heavy rain,###
Rivers,Nov,898,,
Kebbis,Feb,1851,,irrelevant
Bayelsa,May,1999,Dry season,###
Cross River,Feb,1881,123,irrelevant
Taraba,Feb,1365,Heavy rain,###
S0koto,Oct,262,Dry season,###
Plateau,Dec,1527,Heavy rain,
Kaduna,Jul,770,Heavy rain,irrelevant
Oyo,Feb,1156,,irrelevant
Delta,Oct,1972,123,###
Abuja,Jun,1046,flooded!!!,###
Nasarawa,Aug,1953,Heavy rain,irrelevant
??Rivers,Oct,635,Dry season,irrelevant
Ed0o,,665,Dry season,###
Jigawa,Nov,484,123,irrelevant
G0mbe,???,77,flooded!!!,###
Delta,Jul,1478,123,###
Benue,Oct,853,,irrelevant
Borno,Feb,521,,irrelevant
Benue,,1348,Dry season,
Taraba,???,701,flooded!!!,
Kebbis,Jul,1222,flooded!!!,
Rivers,Sep,578,Dry season,irrelevant
Ed0o,Aug,480,flooded!!!,irrelevant
Abuja,Nov,812,flooded!!!,###
Bauchi,Dec,904,,###
Kwara,Nov,1752,123,irrelevant
katsina,Aug,724,Heavy rain,irrelevant
Yobe,Jan,1531,flooded!!!,###
Rivers,Aug,870,Dry season,###
Ekiti,Nov,859,Dry season,irrelevant
Benue,Jan,1971,Dry season,
kogi,,1956,,irrelevant
Plateau,May,36,Heavy rain,
Lagos,,429,flooded!!!,irrelevant
Kaduna,Jun,645,Heavy rain,
lagos ,???,1680,Heavy rain,irrelevant
Kano,Jun,1842,flooded!!!,
KAN0,,1037,Heavy rain,irrelevant
lagos ,Aug,126,123,###
Kebbis,Oct,1954,123,###
KAN0,Oct,1501,,irrelevant
Kano,,1814,123,irrelevant
Bayelsa,Jan,1005,Dry season,
Kebbis,???,1963,,irrelevant
benue,Mar,553,flooded!!!,
Lagos,May,1055,123,###
katsina,Dec,196,,###
??Rivers,Apr,1050,flooded!!!,irrelevant
Bayelsa,Jan,493,,irrelevant
Kano,Jun,1594,Dry season,irrelevant
Kano,Sep,1085,,irrelevant
Yobe,May,1986,flooded!!!,irrelevant
Imo,Mar,1344,flooded!!!,###
S0koto,Oct,1221,,###
Kaduba,May,103,Heavy rain,###
Enugu,Jun,1037,Dry season,
Imo,Aug,1940,Dry season,irrelevant
Rivers,Apr,1230,Heavy rain,irrelevant
Kwara,???,1421,Heavy rain,irrelevant
Bayelsa,Oct,605,123,
Yobe,Aug,68,Dry season,irrelevant
Imo,Mar,1442,,###
Anambra,Mar,1320,123,irrelevant
Kwara,Jan,1574,,irrelevant
Plateau,,1081,,
benue,Dec,1216,Heavy rain,###
Ed0o,Jun,1201,Heavy rain,irrelevant
Kaduna,Mar,1969,flooded!!!,irrelevant
Bayelsa,Oct,1428,Dry season,###
Kwara,Apr,1637,123,irrelevant
Ondo,Oct,3,,###
Enugu,Mar,1918,Heavy rain,irrelevant
Cross River,Sep,593,flooded!!!,
G0mbe,,1576,Dry season,###
Cross River,Dec,1198,flooded!!!,
Kebbis,???,239,flooded!!!,###
gombe,Sep,1801,Dry season,
Kaduna,Aug,491,Heavy rain,irrelevant
Enugu,Apr,1371,Heavy rain,
benue,???,992,Dry season,###
Delta,Jan,1119,Dry season,###
Bauchi,Mar,1506,123,
Enugu,Jan,296,Dry season,###
Bauchi,Aug,265,Heavy rain,
Ogun,Sep,1854,flooded!!!,irrelevant
Niger,Jul,1581,flooded!!!,###
Yobe,Jun,1777,,irrelevant
Kwara,Oct,341,,irrelevant
Kaduna,,1723,,
Plateau,Dec,1863,Dry season,
Oyo,Sep,1397,Heavy rain,irrelevant
Plateau,Jan,1052,flooded!!!,###
kogi,Nov,275,,###
Kaduna,Jun,913,Dry season,
Lagos,Jun,1876,123,irrelevant
Bayelsa,May,1135,Dry season,
Benue,Mar,415,,irrelevant
Yobe,Jun,618,,
Kebbis,Nov,619,,
Imo,Jul,131,Dry season,irrelevant
Osun,Feb,1257,Dry season,irrelevant
Yobe,Oct,453,,###
crossriver,Nov,1964,Heavy rain,###
Ondo,Aug,949,flooded!!!,###
Bauchi,Jul,1506,123,
Kebbis,Sep,881,flooded!!!,irrelevant
Ebonyi,,1538,Heavy rain,irrelevant
Anambra,Jun,877,Dry season,###
Cross River,May,1522,123,irrelevant
Abla,May,1429,123,irrelevant
Oyo,Oct,855,flooded!!!,###
Imo,Feb,588,123,irrelevant
gombe,,202,,irrelevant
katsina,Dec,1180,Dry season,
Cross River,Mar,459,123,###
Benue,Jul,536,Dry season,irrelevant
Ed0o,Jun,751,Dry season,
Ondo,Jun,1607,flooded!!!,irrelevant
Yobe,Mar,887,123,###
Adamawa,Apr,1326,Heavy rain,irrelevant
Ondo,Aug,743,,
Bauchi,Sep,1740,Heavy rain,irrelevant
Bauchi,Mar,1569,,irrelevant
Cross River,Jul,1050,Dry season,
Bauchi,Feb,1755,flooded!!!,irrelevant
crossriver,Dec,496,,###
Ogun,Oct,926,Dry season,
Niger,Nov,930,Dry season,irrelevant
Oyo,Dec,1155,flooded!!!,irrelevant
Kano,Jun,144,Dry season,irrelevant
kogi,Jul,1031,123,
gombe,Nov,1845,flooded!!!,
Anambra,Sep,1158,Heavy rain,###
Ogun,Oct,1243,Dry season,irrelevant
Niger,May,64,Dry season,irrelevant
Ebonyi,Nov,126,Heavy rain,
Osun,Feb,346,Dry season,###
Anambra,Dec,548,123,irrelevant
S0koto,Oct,1540,Dry season,
Yobe,Jun,253,,irrelevant
katsina,Aug,1401,Heavy rain,irrelevant
Kaduba,Oct,435,Heavy rain,###
Niger,Mar,1102,Heavy rain,irrelevant
Niger,,1743,,###
Abuja,,1737,Heavy rain,###
G0mbe,Nov,1883,,###
Abla,,409,flooded!!!,###
KAN0,Dec,1512,Dry season,
Anambra,Jun,578,123,###
gombe,Sep,1464,Dry season,irrelevant
Ed0o,Jan,1781,Heavy rain,###
Oyo,Nov,744,,irrelevant
Yobe,,1474,,###
S0koto,Jul,906,123,###
Taraba,Jan,1886,Heavy rain,
Niger,Jan,383,flooded!!!,irrelevant
Enugu,???,547,,###
Enugu,May,42,,
Borno,???,1262,123,irrelevant
Niger,???,539,,irrelevant
Kaduba,,1397,Dry season,
crossriver,Apr,1492,Heavy rain,irrelevant
lagos ,Nov,253,,irrelevant
Rivers,Dec,1606,Dry season,
Bauchi,Sep,334,,###
??Rivers,Dec,528,flooded!!!,irrelevant
S0koto,May,432,Heavy rain,
Plateau,Jan,485,Dry season,irrelevant
Niger,Apr,404,,
Lagos,Jul,1672,Dry season,###
Ekiti,Feb,858,Dry season,
Cross River,???,1484,123,
Ebonyi,Nov,1768,Dry season,
Ekiti,Mar,1641,flooded!!!,
Plateau,Sep,920,Heavy rain,irrelevant
S0koto,Nov,948,Dry season,
Zamfara,May,138,Heavy rain,
Benue,Jan,357,Heavy rain,###
kogi,Sep,1247,Heavy rain,irrelevant
Borno,???,1500,,irrelevant
benue,Nov,575,123,
Ebonyi,May,1148,123,
Plateau,Sep,602,flooded!!!,irrelevant
Benue,Jan,410,Dry season,
crossriver,Nov,779,,###
Cross River,Jul,832,123,
Enugu,Jul,1618,,###
G0mbe,Dec,77,flooded!!!,
??Rivers,Nov,31,Dry season,###
Abuja,,,,irrelevant
Jigawa,Nov,1775,Dry season,###
??Rivers,Dec,1521,Dry season,###
katsina,Jul,1597,flooded!!!,irrelevant
Delta,Feb,556,Dry season,###
Bayelsa,Feb,462,123,irrelevant
Delta,Jul,824,,
gombe,???,726,Dry season,###
Borno,Feb,1826,Heavy rain,irrelevant
Abuja,May,141,,###
Adamawa,Oct,574,123,###
Adamawa,May,1549,123,
Anambra,Jun,1093,flooded!!!,
Abla,May,1467,Heavy rain,irrelevant
Kaduna,May,1551,123,
Adamawa,Oct,1823,flooded!!!,
Bayelsa,Oct,1471,123,###
Kwara,Feb,753,,
Ekiti,Sep,705,123,###
Imo,Feb,1825,Dry season,###
Bauchi,Feb,883,,###
Ed0o,Apr,691,Dry season,irrelevant
KAN0,???,901,123,
S0koto,Sep,19,,irrelevant
Kaduna,Oct,928,,###
Ogun,May,1768,123,irrelevant
Ebonyi,Jan,881,,###
Borno,May,885,,###
Rivers,Mar,924,Dry season,
S0koto,Apr,1017,flooded!!!,irrelevant
Nasarawa,Jul,1373,,irrelevant
S0koto,Mar,529,,###
Taraba,May,1431,123,
Bayelsa,Jul,1140,123,
Jigawa,Nov,90,,###
gombe,May,523,,###
Yobe,Aug,597,flooded!!!,
S0koto,Apr,1100,Heavy rain,###
Kaduna,Sep,824,Heavy rain,irrelevant
katsina,Oct,980,Heavy rain,###
crossriver,Oct,1413,,irrelevant
Kebbis,Jul,1620,Heavy rain,irrelevant
Ebonyi,???,1633,123,irrelevant
Benue,May,62,flooded!!!,irrelevant
Abla,Jan,140,Dry season,###
??Rivers,May,826,123,###
lagos ,,1688,Dry season,irrelevant
G0mbe,Oct,731,,
Adamawa,Oct,426,,###
Niger,Mar,912,123,###
Lagos,Feb,1391,flooded!!!,
KAN0,Mar,438,flooded!!!,###
Ogun,May,831,Dry season,###
Enugu,Feb,276,Dry season,
Osun,Feb,116,Dry season,irrelevant
katsina,May,860,Dry season,
Ondo,Aug,1367,Heavy rain,
Abuja,???,1871,Heavy rain,###
Nasarawa,May,1164,Heavy rain,
Bayelsa,Dec,1362,123,###
Enugu,Dec,629,,###
Oyo,Jun,1386,Dry season,
Adamawa,Dec,1640,flooded!!!,###
Bauchi,Nov,1886,,###
Ebonyi,Nov,1201,,
Taraba,Apr,1813,flooded!!!,###
gombe,Oct,1323,flooded!!!,irrelevant
Kebbis,Apr,1131,Dry season,
kogi,Mar,1060,Heavy rain,
Enugu,Nov,417,,irrelevant
Kaduna,Aug,462,123,irrelevant
Kano,Dec,1547,Heavy rain,###
Kebbis,Jan,1850,,
Kano,Feb,322,Dry season,###
Ekiti,Jul,412,Dry season,irrelevant
Enugu,Jan,1914,flooded!!!,###
S0koto,Jun,1577,flooded!!!,###
Ogun,,1681,123,
Anambra,Jul,840,Dry season,irrelevant
Kano,May,1243,Dry season,###
Nasarawa,Apr,166,,irrelevant
Kano,Mar,1204,flooded!!!,
Ebonyi,,1293,Dry season,###
Taraba,Jan,893,Heavy rain,irrelevant
Abla,Jan,413,,###
katsina,Mar,890,Dry season,###
kogi,Jun,1048,,
benue,May,1123,Dry season,irrelevant
Anambra,Jul,1769,Dry season,irrelevant
Ekiti,Feb,1401,flooded!!!,###
Yobe,Jul,31,Heavy rain,
Ondo,Jul,564,,irrelevant
Osun,Mar,1100,flooded!!!,###
katsina,,1082,Heavy rain,
Niger,Jun,1904,Heavy rain,###
Kaduna,,343,123,
crossriver,Aug,1189,123,irrelevant
Kaduba,Jul,1711,flooded!!!,irrelevant
Benue,Mar,1747,123,
Anambra,Apr,63,Dry season,
Enugu,Jul,1577,Dry season,irrelevant
Zamfara,Apr,414,,###
Delta,Jun,816,Heavy rain,irrelevant
gombe,Nov,265,flooded!!!,###
gombe,Nov,1560,flooded!!!,###
Kaduna,Apr,1812,123,###
Kano,Sep,1232,,irrelevant
Ondo,Feb,1181,123,irrelevant
Benue,Feb,1517,Heavy rain,###
Adamawa,Sep,1421,Heavy rain,irrelevant
Osun,Oct,283,Heavy rain,
Cross River,Jul,1915,123,
G0mbe,,141,Heavy rain,###
Bayelsa,,1197,123,irrelevant
Ondo,Jun,639,Dry season,###
Cross River,May,1094,,
Kano,???,1228,,###
Ogun,Oct,1731,Dry season,
Yobe,Feb,182,Dry season,
Yobe,Aug,80,Dry season,irrelevant
Ed0o,???,1267,123,###
Anambra,Nov,1757,123,
Abuja,Apr,625,Heavy rain,irrelevant
Kaduba,???,1501,Heavy rain,irrelevant
Anambra,Feb,1278,Heavy rain,irrelevant
S0koto,Jun,350,flooded!!!,
benue,Apr,739,123,
Kaduna,Apr,1868,Dry season,###
Borno,???,1958,flooded!!!,
Ogun,Feb,2,123,###
KAN0,May,854,Dry season,
Jigawa,Aug,1457,flooded!!!,irrelevant
Bayelsa,Oct,935,Heavy rain,###
S0koto,Aug,420,123,###
katsina,Jun,1791,Dry season,irrelevant
Ogun,Oct,1063,123,###
Anambra,Dec,1281,Dry season,irrelevant
Anambra,Jan,506,Heavy rain,###
lagos ,Aug,529,123,###
S0koto,Dec,588,flooded!!!,###
Nasarawa,Sep,401,123,###
Niger,Apr,1356,,###
Kaduna,Jul,1481,,
Bauchi,Jan,1754,123,irrelevant
Ondo,Oct,1061,flooded!!!,
Lagos,Apr,692,Dry season,###
Kebbis,May,1078,Dry season,
kogi,Feb,247,flooded!!!,###
Enugu,Dec,825,flooded!!!,irrelevant
Bauchi,Apr,985,Heavy rain,###
Imo,Jul,1265,Heavy rain,
Adamawa,Mar,1815,123,irrelevant
Adamawa,Aug,189,,irrelevant
Abuja,Sep,1341,Dry season,
Borno,Jul,1645,123,irrelevant
Anambra,Mar,1661,123,
crossriver,May,873,Dry season,irrelevant
Oyo,,1051,Heavy rain,irrelevant
Ebonyi,Dec,914,Heavy rain,###
Nasarawa,Sep,1308,123,###
G0mbe,Apr,775,123,
Kaduba,Jan,1525,,irrelevant
KAN0,May,1632,Heavy rain,
Enugu,Feb,222,123,###
Enugu,Mar,1063,,
benue,May,292,,
lagos ,Aug,1215,Heavy rain,###
gombe,Sep,1792,flooded!!!,###
Oyo,Oct,1692,Heavy rain,###
S0koto,???,1913,,
Cross River,Sep,890,123,###
Lagos,Jun,1149,,###
Abuja,Sep,1083,flooded!!!,###
Jigawa,,267,flooded!!!,###
Plateau,Dec,573,Heavy rain,
Adamawa,Nov,1700,Dry season,
Jigawa,Sep,372,,
Enugu,???,1048,Heavy rain,irrelevant
Kwara,Aug,438,Dry season,###
Osun,Apr,627,123,
Imo,???,1244,123,###
Taraba,Jul,344,Heavy rain,
katsina,,117,Heavy rain,
Kaduba,Nov,1905,Dry season,irrelevant
Borno,Dec,1405,,
Niger,Nov,663,,
Cross River,Apr,863,Dry season,
Delta,Nov,915,flooded!!!,
Plateau,Nov,1643,123,irrelevant
Niger,,950,Dry season,###
S0koto,???,767,,irrelevant
Ondo,Jan,873,Dry season,###
